PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Title,Family
1,0,3,male,22,7.25,S,Mr,2
2,1,1,female,38,71.2833,C,Mrs,2
3,1,3,female,26,7.925,S,Miss,1
4,1,1,female,35,53.1,S,Mrs,2
5,0,3,male,35,8.05,S,Mr,1
6,0,3,male,26,8.4583,Q,Mr,1
7,0,1,male,54,51.8625,S,Mr,1
8,0,3,male,2,21.075,S,Master,5
9,1,3,female,27,11.1333,S,Mrs,3
10,1,2,female,14,30.0708,C,Mrs,2
11,1,3,female,4,16.7,Sё,Miss,3
12,1,1,female,58,26.55,S,Miss,1
13,0,3,male,20,8.05,S,Mr,1
14,0,3,male,39,31.275,S,Mr,7
15,0,3,female,14,7.8542,S,Miss,1
16,1,2,female,55,16.0,S,Mrs,1
17,0,3,male,2,29.125,Q,Master,6
18,1,2,male,30,13.0,S,Mr,1
19,0,3,female,31,18.0,S,Mrs,2
20,1,3,female,21,7.225,C,Mrs,1
21,0,2,male,35,26.0,S,Mr,1
22,1,2,male,34,13.0,S,Mr,1
23,1,3,female,15,8.0292,Q,Miss,1
24,1,1,male,28,35.5,S,Mr,1
25,0,3,female,8,21.075,S,Miss,5
26,1,3,female,38,31.3875,S,Mrs,7
27,0,3,male,26,7.225,C,Mr,1
28,0,1,male,19,263.0,S,Mr,6
29,1,3,female,21,7.8792,Q,Miss,1
30,0,3,male,26,7.8958,S,Mr,1
31,0,1,male,40,27.7208,C,Don,1
32,1,1,female,34,146.5208,C,Mrs,2
33,1,3,female,21,7.75,Q,Miss,1
34,0,2,male,66,10.5,S,Mr,1
35,0,1,male,28,82.1708,C,Mr,2
36,0,1,male,42,52.0,S,Mr,2
37,1,3,male,26,7.2292,C,Mr,1
38,0,3,male,21,8.05,S,Mr,1
39,0,3,female,18,18.0,S,Miss,3
40,1,3,female,14,11.2417,C,Miss,2
41,0,3,female,40,9.475,S,Mrs,2
42,0,2,female,27,21.0,S,Mrs,2
43,0,3,male,26,7.8958,C,Mr,1
44,1,2,female,3,41.5792,C,Miss,4
45,1,3,female,19,7.8792,Q,Miss,1
46,0,3,male,26,8.05,S,Mr,1
47,0,3,male,26,15.5,Q,Mr,2
48,1,3,female,21,7.75,Q,Miss,1
49,0,3,male,26,21.6792,C,Mr,3
50,0,3,female,18,17.8,S,Mrs,2
51,0,3,male,7,39.6875,S,Master,6
52,0,3,male,21,7.8,S,Mr,1
53,1,1,female,49,76.7292,C,Mrs,2
54,1,2,female,29,26.0,S,Mrs,2
55,0,1,male,65,61.9792,C,Mr,2
56,1,1,male,41,35.5,S,Mr,1
57,1,2,female,21,10.5,S,Miss,1
58,0,3,male,28,7.2292,C,Mr,1
